wl_um,n,k
0.2,1.84721440872,0.00514665949323
0.21,1.81416605804,0.00312166885532
0.22,1.78987254605,0.00198440676105
0.23,1.77104817491,0.00131354451233
0.24,1.75598096068,0.000899977863336
0.25,1.74361275251,0.000633892419385
0.26,1.73331943334,0.000458390562457
0.27,1.72459465824,0.000337863676941
0.28,1.71712170249,0.000253046659714
0.29,1.71066274231,0.000191904378244
0.3,1.70502848319,0.000146680033429
0.31,1.70007678615,0.000112455930669
0.32,1.69569186574,8.59349294438e-05
0.33,1.69178155024,6.4918613261e-05
0.34,1.68828132413,4.79886565488e-05
0.35,1.68513442992,3.40952755739e-05
0.36,1.6822867252,2.24412191249e-05
0.37,1.67970267576,1.25155368868e-05
0.38,1.67735038302,3.92788836172e-06
0.39,1.67519410787,0
0.4,1.6732195164,0
0.41,1.6714081399,0
0.42,1.66973928191,0
0.43,1.6681963981,0
0.44,1.66676647442,0
0.45,1.66543815391,0
0.46,1.66420132178,0
0.47,1.66304803123,0
0.48,1.66197182785,0
0.49,1.66096348947,0
0.5,1.66001660489,0
0.51,1.65912546136,0
0.52,1.65828948232,0
0.53,1.65750035351,0
0.54,1.65675313519,0
0.55,1.65605001262,0
0.56,1.65538170009,0
0.57,1.65474916642,0
0.58,1.65414781607,0
0.59,1.65357653236,0
0.6,1.65303195322,0
0.61,1.65251397709,0
0.62,1.65201773931,0
0.63,1.65154616376,0
0.64,1.6510936006,0
0.65,1.65066012568,0
0.66,1.65024574795,0
0.67,1.64984715749,0
0.68,1.64946379765,0
0.69,1.64909670079,0
0.7,1.6487427814,0
0.71,1.64840132992,0
0.72,1.64807171657,0
0.73,1.64775484318,0
0.74,1.64744838207,0
0.75,1.64715183361,0
0.76,1.64686467283,0
0.77,1.64658639391,0
0.78,1.64631655754,0
0.79,1.64605506472,0
0.8,1.64580133116,0
0.81,1.64555469402,0
0.82,1.64531475691,0
0.83,1.64508116656,0
0.84,1.64485360516,0
0.85,1.64463176474,0
0.86,1.64441533233,0
0.87,1.64420404501,0
0.88,1.64399762756,0
0.89,1.64379581925,0
0.9,1.64359838041,0
0.91,1.64340508684,0
0.92,1.64321571523,0
0.93,1.64303006247,0
0.94,1.64284794775,0
0.95,1.64266916842,0
0.96,1.64249360773,0
0.97,1.64232134664,0
0.98,1.6421519372,0
0.99,1.64198522146,0
1,1.64182103273,0
1.01,1.64165924996,0
1.02,1.64149978067,0
1.03,1.64134251425,0
1.04,1.64118739863,0
1.05,1.64103464961,0
1.06,1.64088364373,0
1.07,1.64073431974,0
1.08,1.64058660997,0
1.09,1.64044042089,0
1.1,1.64029619599,0
1.11,1.6401534009,0
1.12,1.64001185432,0
1.13,1.63987147636,0
1.14,1.63973242626,0
1.15,1.63959482327,0
1.16,1.63945814811,0
1.17,1.63932236821,0
1.18,1.63918767843,0
1.19,1.6390541316,0
1.2,1.63892135667,0
1.21,1.63878930913,0
1.22,1.63865822581,0
1.23,1.63852786905,0
1.24,1.63839806936,0
1.25,1.63826889895,0
1.26,1.63814052276,0
1.27,1.63801256979,0
1.28,1.63788503389,0
1.29,1.63775828004,0
1.3,1.63763186338,0
1.31,1.63750577989,0
1.32,1.63738024039,0
1.33,1.63725496915,0
1.34,1.63712999672,0
1.35,1.63700538885,0
1.36,1.63688098745,0
1.37,1.63675688234,0
1.38,1.6366329688,0
1.39,1.63650917077,0
1.4,1.63638562255,0
1.41,1.6362622221,0
1.42,1.63613891652,0
1.43,1.63601570312,0
1.44,1.63589254943,0
1.45,1.63576950906,0
1.46,1.63564648615,0
1.47,1.63552347165,0
1.48,1.63540041435,0
1.49,1.63527734536,0
1.5,1.63515424855,0
1.51,1.63503109094,0
1.52,1.63490788709,0
1.53,1.63478454003,0
1.54,1.63466114754,1.81132864881e-318
1.55,1.63453753186,3.0113315936e-317
1.56,1.63441386964,7.44951114395e-310
1.57,1.63429008891,3.38662155397e-309
1.58,1.63416613297,7.59640534195e-302
1.59,1.63404198568,2.34884657298e-301
1.6,1.63391760243,4.06479879243e-294
1.61,1.63379309435,1.02800870226e-293
1.62,1.63366824426,1.29203231564e-286
1.63,1.63354331343,2.88910549359e-286
1.64,1.63341798896,2.56633953758e-279
1.65,1.63329261439,1.70866370238e-273
1.66,1.63316678758,3.27751830525e-272
1.67,1.63304088264,3.47721430869e-266
1.68,1.6329145169,2.74579617223e-265
1.69,1.63278803752,2.68933127553e-259
1.7,1.63266113825,1.53152779537e-258
1.71,1.63253406934,1.1815322781e-252
1.72,1.63240651254,5.761105184e-252
1.73,1.63227877258,3.2404374875e-246
1.74,1.632150564,1.47722112728e-245
1.75,1.63202215591,5.71626341263e-240
1.76,1.63189323731,2.60587557581e-239
1.77,1.631764137,6.5369996587e-234
1.78,1.63163451404,3.18740481309e-233
1.79,1.63150471692,4.7446183232e-228
1.8,1.63137426852,2.72307152816e-227
1.81,1.63124370459,2.01901419074e-222
1.82,1.63111243678,1.6337933655e-221
1.83,1.6309811307,3.09931489475e-217
1.84,1.63084904872,6.90358054504e-216
1.85,1.63071696674,1.34972296006e-215
1.86,1.63058401852,2.05503979615e-210
1.87,1.63045100308,4.2695072791e-210
1.88,1.63031725924,4.28575654867e-205
1.89,1.6301833159,9.74525857733e-205
1.9,1.63004872718,6.14637622337e-200
1.91,1.62991373783,1.61078962572e-199
1.92,1.62977835837,5.74745175158e-195
1.93,1.6296424511,1.92703538548e-194
1.94,1.62950631779,2.83980696933e-190
1.95,1.62936931324,1.66238210176e-189
1.96,1.62923230868,3.0407835066e-189
1.97,1.62909425349,1.02041374043e-184
1.98,1.6289561568,2.08110273087e-184
1.99,1.62881726529,4.29435265906e-180
2,1.62867802002,1.04997166469e-179
2.01,1.6285383216,1.09970466694e-175
2.02,1.628397932,3.87637686232e-175
2.03,1.62825745475,6.99050718276e-172
2.04,1.62811586427,1.02662518563e-170
2.05,1.6279742738,1.98334529944e-170
2.06,1.62783177425,1.84675597037e-166
2.07,1.62768892641,4.40074094227e-166
2.08,1.62754562394,1.83930093175e-162
2.09,1.62740146214,7.15344494052e-162
2.1,1.62725730034,1.24675889493e-161
2.11,1.62711196006,8.16092955427e-158
2.12,1.62696654722,1.68229804814e-157
2.13,1.6268204076,5.67370792756e-154
2.14,1.6266735669,1.68163411747e-153
2.15,1.62652665928,5.59224205141e-151
2.16,1.62637845293,1.19160182174e-149
2.17,1.62623024658,2.32728122297e-149
2.18,1.62608124306,5.17108796282e-146
2.19,1.62593161318,1.44001254319e-145
2.2,1.62578192108,2.54822688716e-143
2.21,1.6256308099,6.26669255498e-142
2.22,1.62547969872,1.22785624212e-141
2.23,1.62532785475,1.5629446606e-138
2.24,1.62517526318,4.71731477157e-138
2.25,1.62502267161,7.87168488254e-138
2.26,1.62486861278,1.23182065156e-134
2.27,1.62471442288,2.57278755487e-134
2.28,1.62455973435,1.45062420962e-131
2.29,1.62440394628,6.08885766103e-131
2.3,1.62424815821,1.07270911124e-130
2.31,1.6240912895,8.87930577468e-128
2.32,1.62393390287,2.19962819521e-127
2.33,1.6237765013,3.09363057679e-126
2.34,1.62361745576,3.07946799838e-124
2.35,1.62345841023,6.12799969099e-124
2.36,1.62329882992,1.82750459419e-121
2.37,1.62313806487,7.6772671542e-121
2.38,1.62297729982,1.35270297142e-120
2.39,1.62281553267,5.43236093047e-118
2.4,1.6226530458,1.47388707243e-117
2.41,1.62249055893,2.40453805181e-117
2.42,1.62232660809,1.01522878639e-114
2.43,1.62216233807,2.24867295426e-114
2.44,1.62199801636,4.17451771256e-113
2.45,1.62183190011,1.40951647856e-111
2.46,1.62166578386,2.77728778e-111
2.47,1.62149929206,2.62478081201e-109
2.48,1.62133132579,1.53642231615e-108
2.49,1.62116335952,2.81036655109e-108
2.5,1.62099473294,3.49023606055e-106
2.51,1.6208248527,1.35012159455e-105
2.52,1.62065497246,2.35121958304e-105
2.53,1.62048419385,3.05447653578e-103
2.54,1.62031233482,9.71856980656e-103
2.55,1.62014047579,1.63826630773e-102
2.56,1.61996756465,2.01836928735e-100
2.57,1.6197937205,5.78979287308e-100
2.58,1.61961987636,9.56121645881e-100
2.59,1.61944489244,1.05310609447e-97
2.6,1.61926905567,2.87466327753e-97
2.61,1.61909321891,4.69622046059e-97
2.62,1.61891615542,4.42133193419e-95
2.63,1.61873819996,1.19631298165e-94
2.64,1.6185602445,1.95049276987e-94
2.65,1.61838111457,1.50486726412e-92
2.66,1.61820103146,4.18962018254e-92
2.67,1.61802094835,6.87437310096e-92
2.68,1.61783981757,4.12341196165e-90
2.69,1.61765759636,1.23703017387e-89
2.7,1.61747537515,2.06171915158e-89
2.71,1.61729226541,8.86066960321e-88
2.72,1.61710777754,3.08105588843e-87
2.73,1.61692328967,5.27604481655e-87
2.74,1.61673822675,1.38333290871e-85
2.75,1.6165515186,6.45787959823e-85
2.76,1.61636481045,1.15324262877e-84
2.77,1.61617789304,1.07238561093e-83
2.78,1.61598883374,1.13064555852e-82
2.79,1.61579977444,2.15405255595e-82
2.8,1.61561071514,3.17745955338e-82
2.81,1.6154196191,1.6264782987e-80
2.82,1.6152282532,3.43112871431e-80
2.83,1.61503688729,5.23577912992e-80
2.84,1.61484396195,1.84420533954e-78
2.85,1.61465015562,4.63815332114e-78
2.86,1.61445634929,7.43210130274e-78
2.87,1.61426166336,1.45523699452e-76
2.88,1.61406540006,5.26244044551e-76
2.89,1.61386913676,9.0696438965e-76
2.9,1.61367277696,3.05908654076e-75
2.91,1.61347403928,4.88603660145e-74
2.92,1.6132753016,9.46616454882e-74
2.93,1.61307656392,1.40462924962e-73
2.94,1.6128760467,3.47957098234e-72
2.95,1.6126746959,8.36135871982e-72
2.96,1.61247334509,1.32431464573e-71
2.97,1.61227126084,1.48385437395e-70
2.98,1.61206733652,6.10321622325e-70
2.99,1.6118634122,1.07225780726e-69
3,1.61165948788,1.53419399219e-69
3.01,1.6114533088,3.46621659708e-68
3.02,1.61124672869,7.35999982613e-68
3.03,1.61104014858,1.12537830552e-67
3.04,1.61083252515,1.23085294103e-66
3.05,1.61062314794,4.16356363711e-66
3.06,1.61041377073,7.09627433318e-66
3.07,1.61020439351,1.00289850293e-65
3.08,1.6099926961,1.80050291888e-64
3.09,1.60978061469,3.77724956154e-64
3.1,1.60956853328,5.7539962042e-64
3.11,1.60935559427,4.31621615251e-63
3.12,1.6091406637,1.62851262581e-62
3.13,1.60892573313,2.82540363636e-62
3.14,1.60871080256,4.02229464692e-62
3.15,1.60849380676,5.02475830439e-61
3.16,1.60827593845,1.1549624843e-60
3.17,1.60805807014,1.80744913817e-60
