wl_um,n,k
0.2,2.18904103896,0
0.21,2.18891116883,0
0.22,2.1887812987,0
0.23,2.18865142857,0
0.24,2.18852155844,0
0.25,2.18839168831,0
0.26,2.18826181818,0
0.27,2.18813194805,0
0.28,2.18800207792,0
0.29,2.18787220779,0
0.3,2.18774233766,0
0.31,2.18761246753,0
0.32,2.1874825974,0
0.33,2.18735272727,0
0.34,2.18722285714,0
0.35,2.18709298701,0
0.36,2.18696311688,0
0.37,2.18683324675,0
0.38,2.18670337662,0
0.39,2.18657350649,0
0.4,2.18644363636,0
0.41,2.18631376623,0
0.42,2.1861838961,0
0.43,2.18605402597,0
0.44,2.18592415584,0
0.45,2.18579428571,0
0.46,2.18566441558,0
0.47,2.18553454545,0
0.48,2.18540467532,0
0.49,2.18527480519,0
0.5,2.18514493507,0
0.51,2.18501506494,0
0.52,2.18488519481,0
0.53,2.18475532468,0
0.54,2.18462545455,0
0.55,2.18449558442,0
0.56,2.18436571429,0
0.57,2.18423584416,0
0.58,2.18410597403,0
0.59,2.1839761039,0
0.6,2.18384623377,0
0.61,2.18371636364,0
0.62,2.18358649351,0
0.63,2.18345662338,0
0.64,2.18332675325,0
0.65,2.18319688312,0
0.66,2.18306701299,0
0.67,2.18293714286,0
0.68,2.18280727273,0
0.69,2.1826774026,0
0.7,2.18254753247,0
0.71,2.18241766234,0
0.72,2.18228779221,0
0.73,2.18215792208,0
0.74,2.18202805195,0
0.75,2.18189818182,0
0.76,2.18176831169,0
0.77,2.18163844156,0
0.78,2.18150857143,0
0.79,2.1813787013,0
0.8,2.18124883117,0
0.81,2.18111896104,0
0.82,2.18098909091,0
0.83,2.18085922078,0
0.84,2.18072935065,0
0.85,2.18059948052,0
0.86,2.18046961039,0
0.87,2.18033974026,0
0.88,2.18020987013,0
0.89,2.18008,0
0.9,2.17995012987,0
0.91,2.17982025974,0
0.92,2.17969038961,0
0.93,2.17956051948,0
0.94,2.17943064935,0
0.95,2.17930077922,0
0.96,2.17917090909,0
0.97,2.17904103896,0
0.98,2.17891116883,0
0.99,2.1787812987,0
1,2.17865142857,0
1.01,2.17852155844,0
1.02,2.17839168831,0
1.03,2.17826181818,0
1.04,2.17813194805,0
1.05,2.17800207792,0
1.06,2.17787220779,0
1.07,2.17774233766,0
1.08,2.17761246753,0
1.09,2.1774825974,0
1.1,2.17735272727,0
1.11,2.17722285714,0
1.12,2.17709298701,0
1.13,2.17696311688,0
1.14,2.17683324675,0
1.15,2.17670337662,0
1.16,2.17657350649,0
1.17,2.17644363636,0
1.18,2.17631376623,0
1.19,2.1761838961,0
1.2,2.17605402597,0
1.21,2.17592415584,0
1.22,2.17579428571,0
1.23,2.17566441558,0
1.24,2.17553454545,0
1.25,2.17540467532,0
1.26,2.17527480519,0
1.27,2.17514493507,0
1.28,2.17501506494,0
1.29,2.17488519481,0
1.3,2.17475532468,0
1.31,2.17462545455,0
1.32,2.17449558442,0
1.33,2.17436571429,0
1.34,2.17423584416,0
1.35,2.17410597403,0
1.36,2.1739761039,4.05838961016e-07
1.37,2.17384623377,1.50713766232e-06
1.38,2.17371636364,2.60843636361e-06
1.39,2.17358649351,3.70973506491e-06
1.4,2.17345662338,4.81103376621e-06
1.41,2.17332675325,5.91233246751e-06
1.42,2.17319688312,7.01363116881e-06
1.43,2.17306701299,8.11492987011e-06
1.44,2.17293714286,9.21622857141e-06
