wl_um,n,k
0.2,1.57087740661,0.000801179074621
0.21,1.55796471503,0.00080797719712
0.22,1.5475670332,0.000827082415095
0.23,1.539028204,0.000828600084263
0.24,1.53189479971,0.000804295966925
0.25,1.52584844775,0.000756854458347
0.26,1.52065829914,0.000693278824067
0.27,1.51615549366,0.000621104797065
0.28,1.51221456127,0.000546648081923
0.29,1.50873778334,0.000474435962848
0.3,1.50565161555,0.000407337034846
0.31,1.50289554618,0.000346824767515
0.32,1.50042280996,0.00029345159965
0.33,1.49819366524,0.000248188266849
0.34,1.49617787644,0.000209794024111
0.35,1.49434785542,0.000177132355878
0.36,1.49268038744,0.000149518543584
0.37,1.49115644651,0.00012628269317
0.38,1.48975946833,0.000106784191511
0.39,1.4884752224,9.04465263787e-05
0.4,1.48729140347,7.67652635084e-05
0.41,1.48619750354,6.53074901133e-05
0.42,1.48518405552,5.57017698965e-05
0.43,1.48424302065,4.76393998686e-05
0.44,1.4833673098,4.08612554173e-05
0.45,1.48255071815,3.51520785596e-05
0.46,1.48178758342,3.03315149154e-05
0.47,1.48107295211,2.62510933488e-05
0.48,1.48040250084,2.27886863612e-05
0.49,1.47977241149,1.98435579512e-05
0.5,1.47917914553,1.73313152154e-05
0.51,1.47861955232,1.51819813668e-05
0.52,1.47809092299,1.33387932563e-05
0.53,1.47759062486,1.17529360147e-05
0.54,1.47711651492,1.03852945676e-05
0.55,1.47666645342,9.20245126173e-06
0.56,1.47623865234,8.1767702872e-06
0.57,1.47583137414,7.28475784943e-06
0.58,1.47544304482,6.5067071061e-06
0.59,1.47507242003,5.8269384013e-06
0.6,1.47471807517,5.23092199163e-06
0.61,1.47437885619,4.70713195759e-06
0.62,1.47405379586,4.24585980673e-06
0.63,1.4737418392,3.83857378311e-06
0.64,1.47344212338,3.47813043505e-06
0.65,1.47315381867,3.15836883026e-06
0.66,1.47287610487,2.87395641433e-06
0.67,1.4726083744,2.62061007891e-06
0.68,1.472349878,2.39427139186e-06
