wl_um,n,k
0.2,0.573,1.864
0.21,0.686,1.786
0.22,0.799,1.708
0.23,0.912,1.63
0.24,1.025,1.552
0.25,1.138,1.474
0.26,1.251,1.396
0.27,1.364,1.318
0.28,1.477,1.24
0.29,1.531,1.168
0.3,1.609,0.9126
0.31,1.373,0.5192
0.32,0.8191,0.3334
0.33,0.2207,0.6779
0.34,0.1109,1.084
0.35,0.08443,1.341
0.36,0.07339,1.536
0.37,0.0672298,1.70042
0.38,0.063221,1.8423
0.39,0.0603282,1.97219
0.4,0.058153,2.09113
0.41,0.0564568,2.20407
0.42,0.0551396,2.31103
0.43,0.0541021,2.414
0.44,0.0533139,2.51396
0.45,0.0527056,2.60994
0.46,0.0522671,2.70392
0.47,0.0519783,2.79591
0.48,0.0518094,2.88688
0.49,0.0517505,2.97488
0.5,0.0518013,3.06286
0.51,0.0519322,3.14885
0.52,0.052153,3.23385
0.53,0.0524537,3.31883
0.54,0.0528244,3.40183
0.55,0.053265,3.48482
0.56,0.0537655,3.56682
0.57,0.0543162,3.6488
0.58,0.0549367,3.72881
0.59,0.0556072,3.8098
0.6,0.0563277,3.88979
0.61,0.0570981,3.9688
0.62,0.0579086,4.04878
0.63,0.058769,4.12679
0.64,0.0596695,4.20578
0.65,0.0606198,4.28378
0.66,0.0616003,4.36177
0.67,0.0626306,4.43878
0.68,0.063691,4.51677
0.69,0.0647913,4.59376
0.7,0.0659217,4.66977
0.71,0.0670921,4.74677
0.72,0.0683024,4.82376
0.73,0.0695427,4.89976
0.74,0.070813,4.97576
0.75,0.0721134,5.05175
0.76,0.0734536,5.12676
0.77,0.074814,5.20276
0.78,0.0762142,5.27875
0.79,0.0776346,5.35375
0.8,0.0790949,5.42875
0.81,0.0805851,5.50375
0.82,0.0820954,5.57875
0.83,0.0836357,5.65375
0.84,0.085206,5.72874
0.85,0.0868062,5.80275
0.86,0.0884266,5.87774
0.87,0.0900867,5.95175
0.88,0.0917571,6.02674
0.89,0.0934673,6.10074
0.9,0.0951976,6.17474
0.91,0.0969578,6.24874
0.92,0.0987378,6.32274
0.93,0.100519,6.39674
0.94,0.102418,6.47074
0.95,0.104219,6.54474
0.96,0.106119191919,6.61873737374
0.97,0.10803960396,6.69246534653
0.98,0.110019,6.76573
0.99,0.11192,6.83874
1,0.11391980198,6.91272277228
1.01,0.1159,6.985
1.02,0.1179,7.059
1.03,0.12,7.132
1.04,0.1221,7.206
1.05,0.1242,7.279
1.06,0.1263,7.352
1.07,0.1285,7.425
1.08,0.1306,7.498
1.09,0.1328,7.571
1.1,0.1351,7.645
1.11,0.1373,7.718
1.12,0.1396,7.791
1.13,0.1419,7.863
1.14,0.1442,7.936
1.15,0.1465,8.009
1.16,0.1489,8.082
1.17,0.1513,8.155
1.18,0.1537,8.228
1.19,0.1561,8.3
1.2,0.1585,8.373
1.21,0.161,8.446
1.22,0.1635,8.518
1.23,0.166,8.591
1.24,0.1686,8.664
1.25,0.1711,8.736
1.26,0.1737,8.809
1.27,0.1763,8.881
1.28,0.179,8.954
1.29,0.1816,9.026
1.3,0.1843,9.099
1.31,0.187,9.171
1.32,0.1897,9.243
1.33,0.1924,9.316
1.34,0.1952,9.388
