wl_um,n,k
0.2,0.119452054201,2.26533739837
0.21,0.131208809581,2.40073687394
0.22,0.144419552383,2.53298947496
0.23,0.157630295185,2.66524207597
0.24,0.170841037987,2.79749467699
0.25,0.184600840458,2.92926805936
0.26,0.200516310695,3.05915997742
0.27,0.216431780932,3.18905189547
0.28,0.23234725117,3.31894381352
0.29,0.248262721407,3.44883573157
0.3,0.264178191644,3.57872764962
0.31,0.280115073529,3.70861078431
0.32,0.301383455882,3.83630686275
0.33,0.322884648254,3.96294669098
0.34,0.344778863992,4.08780338718
0.35,0.366673079729,4.21266008338
0.36,0.388567295466,4.33751677957
0.37,0.412233126285,4.46215894694
0.38,0.437444973262,4.58661390374
0.39,0.462656820239,4.71106886055
0.4,0.487868667215,4.83552381736
0.41,0.513080514192,4.95997877417
0.42,0.541052439024,5.08429918699
0.43,0.570371544715,5.20855392954
0.44,0.599690650407,5.33280867209
0.45,0.633238420898,5.45435080716
0.46,0.668430672146,5.57483803933
0.47,0.703622923393,5.6953252715
0.48,0.73927062673,5.81463110999
0.49,0.775917996476,5.93134392147
0.5,0.812565366222,6.04805673295
0.51,0.849212735968,6.16476954442
0.52,0.887833893975,6.28104079199
0.53,0.930286523313,6.3964548861
0.54,0.972739152651,6.5118689802
0.55,1.01519178199,6.6272830743
0.56,1.05764441133,6.74269716841
0.57,1.10625060326,6.85478287793
0.58,1.15827331441,6.9650206352
0.59,1.21029602555,7.07525839248
0.6,1.26231873669,7.18549614975
0.61,1.31434144784,7.29573390703
0.62,1.3664470297,7.40591516089
0.63,1.43030841584,7.50808100248
0.64,1.49416980198,7.61024684406
0.65,1.55803118812,7.71241268564
0.66,1.62702732495,7.80423000547
0.67,1.69751419584,7.89304291575
0.68,1.76800106674,7.98185582604
0.69,1.83980859047,8.06880688719
0.7,1.92139338435,8.14197400642
0.71,2.00297817823,8.21514112565
0.72,2.08456297211,8.28830824488
0.73,2.16738359289,8.35851210792
0.74,2.26714231191,8.38810193025
0.75,2.36690103093,8.41769175258
0.76,2.46665974995,8.44728157491
0.77,2.56641846896,8.47687139724
0.78,2.6543627076,8.46455390035
0.79,2.73091026673,8.41181107197
0.8,2.76732525108,8.35432137733
0.81,2.76699048302,8.29248493544
0.82,2.75266789116,8.24371519274
0.83,2.71987877551,8.21219591837
0.84,2.67494040109,8.18428748694
0.85,2.58839350324,8.16874539377
0.86,2.50184660539,8.15320330061
0.87,2.41529970754,8.13766120744
0.88,2.32875280969,8.12211911427
0.89,2.22858168906,8.14582364683
0.9,2.11100011516,8.21968161228
0.91,1.99341854127,8.29353957774
0.92,1.88467226647,8.39372932657
0.93,1.77768457639,8.49916017379
0.94,1.67369730835,8.60849301533
0.95,1.60838214651,8.76811822828
0.96,1.54306698467,8.92774344123
0.97,1.484472928,9.084281056
0.98,1.468216928,9.221369056
0.99,1.451960928,9.358457056
1,1.435769988,9.49533157263
1.01,1.42493565426,9.61462929172
1.02,1.41410132053,9.7339270108
1.03,1.40326698679,9.85322472989
1.04,1.39460766773,9.9694370607
1.05,1.38697188498,10.0841974441
1.06,1.37933610224,10.1989578275
1.07,1.37170031949,10.3137182109
1.08,1.36406453674,10.4284785942
1.09,1.35642875399,10.5432389776
1.1,1.34879297125,10.657999361
1.11,1.3411571885,10.7727597444
1.12,1.33352140575,10.8875201278
1.13,1.32778120567,11.0018049645
1.14,1.32668191489,11.1149255319
1.15,1.32558262411,11.2280460993
1.16,1.32448333333,11.3411666667
1.17,1.32338404255,11.454287234
1.18,1.32228475177,11.5674078014
1.19,1.32118546099,11.6805283688
1.2,1.32008617021,11.7936489362
1.21,1.31898687943,11.9067695035
1.22,1.31788758865,12.0198900709
1.23,1.31678829787,12.1330106383
1.24,1.31575388526,12.2461176471
1.25,1.32114241104,12.3578823529
1.26,1.32653093682,12.4696470588
1.27,1.3319194626,12.5814117647
1.28,1.33730798838,12.6931764706
1.29,1.34269651416,12.8049411765
1.3,1.34808503994,12.9167058824
1.31,1.35347356572,13.0284705882
1.32,1.3588620915,13.1402352941
1.33,1.36425061728,13.252
1.34,1.36963914306,13.3637647059
1.35,1.37502766885,13.4755294118
1.36,1.38041619463,13.5872941176
1.37,1.38580472041,13.6990588235
1.38,1.39252439024,13.8100905923
1.39,1.40345934959,13.9188013937
1.4,1.41439430894,14.0275121951
1.41,1.42532926829,14.1362229965
1.42,1.43626422764,14.2449337979
1.43,1.44719918699,14.3536445993
1.44,1.45813414634,14.4623554007
1.45,1.46906910569,14.5710662021
1.46,1.48000406504,14.6797770035
1.47,1.49093902439,14.7884878049
1.48,1.50187398374,14.8971986063
1.49,1.51280894309,15.0059094077
1.5,1.52374390244,15.1146202091
