wl_um,n,k
0.2,2.88556141419,0.24580724376
0.21,2.74215878645,0.109126509393
0.22,2.61363215434,0.0383416357473
0.23,2.50763200981,0.00980387493226
0.24,2.43274831143,0.00647460230573
0.25,2.38028901022,0.00600486840846
0.26,2.3404694078,0.00760139314986
0.27,2.31140336074,0.00929658195448
0.28,2.28888226227,0.00802511941241
0.29,2.26838424258,0.00508091976898
0.3,2.24932452755,0.00294128760442
0.31,2.2325301179,0.00195143309189
0.32,2.21807075359,0.00152526282311
0.33,2.2055442681,0.00128418748364
0.34,2.19456188535,0.00110353125262
0.35,2.1848342313,0.000951933827981
0.36,2.17615359706,0.000820471321946
0.37,2.168361556,0.000704831045188
0.38,2.16132951543,0.000601959571874
0.39,2.1549563634,0.000509551780492
0.4,2.14915577572,0.000425736264498
0.41,2.14385625286,0.000349023690578
0.42,2.13899748464,0.000278212872993
0.43,2.13452785376,0.000212323064452
0.44,2.13040409839,0.000150567183421
0.45,2.1265866876,9.22756867302e-05
0.46,2.1230389839,3.68959640612e-05
0.47,2.11971448117,1.62306859629e-20
0.48,2.11664066543,1.51735554281e-21
0.49,2.1137870706,1.4792525837e-22
0.5,2.11112727717,1.48705713834e-23
0.51,2.10864155518,1.54426689147e-24
0.52,2.10631378978,1.66397067336e-25
0.53,2.10413025294,1.88760608059e-26
0.54,2.10207773546,2.17806053705e-27
0.55,2.10014628429,2.67208353704e-28
0.56,2.09832511699,3.36712584684e-29
0.57,2.09660584862,4.39489141519e-30
0.58,2.09498059289,5.97377693819e-31
0.59,2.09344222677,8.46685221255e-32
0.6,2.09198422835,1.24758748978e-32
0.61,2.09060066335,1.89994869397e-33
0.62,2.089286112,2.96980855188e-34
0.63,2.08803628514,4.9167001771e-35
0.64,2.08684593193,8.2561326581e-36
0.65,2.08571180455,1.46328664147e-36
0.66,2.08462965234,2.64945971454e-37
0.67,2.08359607666,4.92694551618e-38
0.68,2.08260839186,9.59973070235e-39
0.69,2.08166340219,1.9258695573e-39
0.7,2.08075845773,3.97614195087e-40
0.71,2.07989113019,8.44367363781e-41
0.72,2.07905904445,1.84194074688e-41
0.73,2.07826048349,4.19262918918e-42
0.74,2.07749313187,9.76794268702e-43
0.75,2.07675518869,2.31906227529e-43
0.76,2.07604515887,5.6998224612e-44
0.77,2.07536138569,1.43700316415e-44
0.78,2.07470236722,3.70558245828e-45
0.79,2.07406682368,9.8171818512e-46
0.8,2.07345346857,2.67457062274e-46
0.81,2.07286106604,7.3857255316e-47
0.82,2.07228860965,2.10747507797e-47
0.83,2.07173502989,6.16274629812e-48
0.84,2.07119933232,1.83656358792e-48
0.85,2.07068054359,5.58412383384e-49
