wl_um,n,k
0.2,1.43524841853,2.84408417676e-08
0.21,1.42881192263,7.53649303119e-09
0.22,1.42345201955,2.14585472143e-09
0.23,1.41893107003,6.54854224431e-10
0.24,1.41507488312,2.13143773738e-10
0.25,1.41175453029,7.37672220892e-11
0.26,1.40887124819,2.70278395266e-11
0.27,1.40634892731,1.04431224747e-11
0.28,1.40412821217,4.24458028588e-12
0.29,1.40216069003,1.80623796962e-12
0.3,1.40040871359,8.03289665505e-13
0.31,1.39884035068,3.71752102556e-13
0.32,1.39743054177,1.78758756922e-13
0.33,1.3961576503,8.900541336e-14
0.34,1.39500414394,4.5804844155e-14
0.35,1.39395510939,2.43153022591e-14
0.36,1.39299771128,1.32791465855e-14
0.37,1.39212137914,7.45211119229e-15
0.38,1.39131688693,4.28910869218e-15
0.39,1.39057629901,2.52762306975e-15
0.4,1.38989274749,1.52309584334e-15
0.41,1.38926036772,9.37254474267e-16
0.42,1.38867386657,5.88142598435e-16
0.43,1.38812874932,3.75996884277e-16
0.44,1.38762104794,2.44632431395e-16
0.45,1.38714728568,1.61838784655e-16
0.46,1.38670428203,1.08746185457e-16
0.47,1.38628925105,7.41499031114e-17
0.48,1.3858997582,5.12685794355e-17
0.49,1.38553365017,3.59243298685e-17
0.5,1.38518892557,2.54912187106e-17
0.51,1.38486379907,1.83019208219e-17
0.52,1.38455673453,1.32919022021e-17
0.53,1.38426623306,9.7557529084e-18
0.54,1.38399107511,7.23434111421e-18
0.55,1.38373003843,5.41740550742e-18
0.56,1.38348210086,4.09492803305e-18
0.57,1.38324626614,3.12263111891e-18
0.58,1.38302162988,2.40085180674e-18
0.59,1.38280747859,1.8614081125e-18
0.6,1.38260298964,1.45403007394e-18
0.61,1.38240749771,1.14411478737e-18
0.62,1.38222044399,9.06674192794e-19
0.63,1.38204121821,7.23387647179e-19
0.64,1.38186932003,5.80907631474e-19
0.65,1.38170426745,4.69373216595e-19
0.66,1.3815455837,3.81454233333e-19
0.67,1.38139291573,3.1181205385e-19
0.68,1.38124582657,2.56240967783e-19
0.69,1.38110403398,2.11714233397e-19
0.7,1.38096715536,1.75787271994e-19
0.71,1.38083489891,1.4665846433e-19
0.72,1.38070701528,1.22931332869e-19
0.73,1.3805832134,1.0350590475e-19
0.74,1.3804632838,8.7530770653e-20
0.75,1.38034696701,7.43279255375e-20
0.76,1.38023406132,6.33674119157e-20
0.77,1.38012436735,5.42278019018e-20
0.78,1.38001771228,4.65845378407e-20
0.79,1.37991391977,4.01600186529e-20
0.8,1.3798128209,3.47422759764e-20
0.81,1.37971425915,3.01537964044e-20
