wl_um,n,k
0.2,3.4698729236,0
0.21,3.4698728919,0
0.22,3.4698728602,0
0.23,3.4698728285,0
0.24,3.4698727968,0
0.25,3.4698727651,0
0.26,3.4698727334,0
0.27,3.4698727017,0
0.28,3.46987267,0
0.29,3.4698726383,0
0.3,3.4698726066,0
0.31,3.4698725749,0
0.32,3.4698725432,0
0.33,3.4698725115,0
0.34,3.4698724798,0
0.35,3.4698724481,0
0.36,3.4698724164,0
0.37,3.4698723847,0
0.38,3.469872353,0
0.39,3.4698723213,0
0.4,3.4698722896,0
0.41,3.4698722579,0
0.42,3.4698722262,0
0.43,3.4698721945,0
0.44,3.4698721628,0
0.45,3.4698721311,0
0.46,3.4698720994,0
0.47,3.4698720677,0
0.48,3.469872036,0
0.49,3.4698720043,0
0.5,3.4698719726,0
0.51,3.4698719409,0
0.52,3.4698719092,0
0.53,3.4698718775,0
0.54,3.4698718458,0
0.55,3.4698718141,0
0.56,3.4698717824,0
0.57,3.4698717507,0
0.58,3.469871719,0
0.59,3.4698716873,0
0.6,3.4698716556,0
0.61,3.4698716239,0
0.62,3.4698715922,0
0.63,3.4698715605,0
0.64,3.4698715288,0
0.65,3.4698714971,0
0.66,3.4698714654,0
0.67,3.4698714337,0
0.68,3.469871402,0
0.69,3.4698713703,0
0.7,3.4698713386,0
0.71,3.4698713069,0
0.72,3.4698712752,0
0.73,3.4698712435,0
0.74,3.4698712118,0
0.75,3.4698711801,0
0.76,3.4698711484,0
0.77,3.4698711167,0
0.78,3.469871085,0
0.79,3.4698710533,0
0.8,3.4698710216,0
0.81,3.4698709899,0
0.82,3.4698709582,0
0.83,3.4698709265,0
0.84,3.4698708948,0
0.85,3.4698708631,0
0.86,3.4698708314,0
0.87,3.4698707997,0
0.88,3.469870768,0
0.89,3.4698707363,0
0.9,3.4698707046,0
0.91,3.4698706729,0
0.92,3.4698706412,0
0.93,3.4698706095,0
0.94,3.4698705778,0
0.95,3.4698705461,0
0.96,3.4698705144,0
