wl_um,n,k
0.2,2.47714905263,3e-05
0.21,2.47704378947,3e-05
0.22,2.47693852632,3e-05
0.23,2.47683326316,3e-05
0.24,2.476728,3e-05
0.25,2.47662273684,3e-05
0.26,2.47651747368,3e-05
0.27,2.47641221053,3e-05
0.28,2.47630694737,3e-05
0.29,2.47620168421,3e-05
0.3,2.47609642105,3e-05
0.31,2.47599115789,3e-05
0.32,2.47588589474,3e-05
0.33,2.47578063158,3e-05
0.34,2.47567536842,3e-05
0.35,2.47557010526,3e-05
0.36,2.47546484211,3e-05
0.37,2.47535957895,3e-05
0.38,2.47525431579,3e-05
0.39,2.47514905263,3e-05
0.4,2.47504378947,3e-05
0.41,2.47493852632,3e-05
0.42,2.47483326316,3e-05
0.43,2.474728,3e-05
0.44,2.47462273684,3e-05
0.45,2.47451747368,3e-05
0.46,2.47441221053,3e-05
0.47,2.47430694737,3e-05
0.48,2.47420168421,3e-05
0.49,2.47409642105,3e-05
0.5,2.47399115789,3e-05
0.51,2.47388589474,3e-05
0.52,2.47378063158,3e-05
0.53,2.47367536842,3e-05
0.54,2.47357010526,3e-05
0.55,2.47346484211,3e-05
0.56,2.47335957895,3e-05
0.57,2.47325431579,3e-05
0.58,2.47314905263,3e-05
0.59,2.47304378947,3e-05
0.6,2.47293852632,3e-05
0.61,2.47283326316,3e-05
0.62,2.472728,3e-05
0.63,2.47262273684,3e-05
0.64,2.47251747368,3e-05
0.65,2.47241221053,3e-05
0.66,2.47230694737,3e-05
0.67,2.47220168421,3e-05
0.68,2.47209642105,3e-05
0.69,2.47199115789,3e-05
0.7,2.47188589474,3e-05
0.71,2.47178063158,3e-05
0.72,2.47167536842,3e-05
0.73,2.47157010526,3e-05
0.74,2.47146484211,3e-05
0.75,2.47135957895,3e-05
0.76,2.47125431579,3e-05
0.77,2.47114905263,3e-05
0.78,2.47104378947,3e-05
0.79,2.47093852632,3e-05
0.8,2.47083326316,3e-05
0.81,2.470728,3e-05
0.82,2.47062273684,3e-05
0.83,2.47051747368,3e-05
0.84,2.47041221053,3e-05
0.85,2.47030694737,3e-05
0.86,2.47020168421,3e-05
0.87,2.47009642105,3e-05
0.88,2.46999115789,3e-05
0.89,2.46988589474,3e-05
0.9,2.46978063158,3e-05
0.91,2.46967536842,3e-05
0.92,2.46957010526,3e-05
0.93,2.46946484211,3e-05
0.94,2.46935957895,3e-05
0.95,2.46925431579,3e-05
0.96,2.46914905263,3e-05
0.97,2.46904378947,3e-05
0.98,2.46893852632,3e-05
0.99,2.46883326316,3e-05
1,2.468728,3e-05
1.01,2.46862273684,3e-05
1.02,2.46851747368,3e-05
1.03,2.46841221053,3e-05
1.04,2.46830694737,3e-05
1.05,2.46820168421,3e-05
1.06,2.46809642105,3e-05
1.07,2.46799115789,3e-05
1.08,2.46788589474,3e-05
1.09,2.46778063158,3e-05
1.1,2.46767536842,3e-05
1.11,2.46757010526,3e-05
1.12,2.46746484211,3e-05
1.13,2.46735957895,3e-05
1.14,2.46725431579,3e-05
1.15,2.46714905263,3e-05
