wl_um,n,k
0.2,0.13111270936,0.945067487685
0.21,0.143148834154,1.04063399015
0.22,0.155184958949,1.13620049261
0.23,0.167221083744,1.23176699507
0.24,0.179257208539,1.32733349754
0.25,0.191293333333,1.4229
0.26,0.203719230769,1.51872019231
0.27,0.217465496183,1.61594305344
0.28,0.232838444767,1.71510872093
0.29,0.251386079545,1.81769588068
0.3,0.274019168975,1.92364515235
0.31,0.30327994723,2.03302453826
0.32,0.340992525773,2.144825
0.33,0.388117698113,2.25714037736
0.34,0.445582275449,2.36765173653
0.35,0.51483251462,2.47314163743
0.36,0.593454823261,2.57156066135
0.37,0.679895623608,2.66087561247
0.38,0.772238576087,2.73977086957
0.39,0.868254968153,2.80741539278
0.4,0.965586925466,2.86351242236
0.41,1.06214446916,2.90857482305
0.42,1.15601656805,2.94329763314
0.43,1.24570019268,2.9688938343
0.44,1.33005432331,2.9867887218
0.45,1.40838331806,2.99839120073
0.46,1.48034476276,3.00512318711
0.47,1.54582762238,3.0083270979
0.48,1.60497877238,3.00919002558
0.49,1.65818459617,3.00872214821
0.5,1.70506219817,3.0078062448
0.51,1.7464775792,3.00748456539
0.52,1.78359222839,3.00822854877
0.53,1.81698452012,3.01033498452
0.54,1.84719637462,3.01400422961
0.55,1.87416012085,3.02004652568
0.56,1.89891327434,3.02826725664
0.57,1.92223669065,3.0382647482
0.58,1.9444303584,3.0499300773
0.59,1.96544230499,3.06426598735
0.6,1.9860979438,3.08005133653
0.61,2.00651151272,3.09708366801
0.62,2.02685957162,3.11589223561
0.63,2.04743250653,3.13576174935
0.64,2.06819094388,3.15635318878
0.65,2.08942818878,3.17810063776
0.66,2.11109626866,3.20030634328
0.67,2.13311119403,3.22288097015
0.68,2.15583916211,3.24592635094
0.69,2.17883633669,3.26906544161
0.7,2.20236923533,3.29236123296
0.71,2.22636639676,3.31555847311
0.72,2.25065789474,3.33869323308
0.73,2.27548774704,3.36154297007
0.74,2.3004463065,3.38430055127
0.75,2.32585975744,3.40662690187
0.76,2.35135827957,3.42874064516
0.77,2.3770572043,3.45035354839
0.78,2.40288707983,3.47165567227
0.79,2.42888497899,3.49255903361
0.8,2.4549244877,3.51302377049
0.81,2.48100030738,3.5331057377
0.82,2.507032,3.5527035
0.83,2.533032,3.5719535
0.84,2.55896152344,3.59068515625
0.85,2.58484042969,3.60904453125
0.86,2.61058708909,3.62696217246
0.87,2.63621834207,3.64449433063
0.88,2.66168117155,3.66166011158
0.89,2.68692524407,3.67835002325
0.9,2.71205165683,3.69481202905
0.91,2.73688143441,3.71069945529
0.92,2.7616693977,3.72652683791
0.93,2.78598294951,3.74167298494
0.94,2.81029650133,3.75681913198
0.95,2.83416982274,3.77138421963
0.96,2.8579484652,3.78582434068
0.97,2.88141392405,3.79993670886
0.98,2.90457848101,3.81373417722
0.99,2.92765144033,3.8274436214
1,2.9501617284,3.84061234568
1.01,2.97267201646,3.85378106996
1.02,2.99471164659,3.86655341365
1.03,3.01655903614,3.87916385542
1.04,3.03827716535,3.89166771654
1.05,3.05953700787,3.90379370079
1.06,3.08079685039,3.91591968504
1.07,3.10151145038,3.92769007634
1.08,3.12196946565,3.93929312977
1.09,3.14239101124,3.95087640449
1.1,3.1622411985,3.96214981273
1.11,3.18209138577,3.97342322097
1.12,3.20164416058,3.98452737226
1.13,3.22073175182,3.99536678832
1.14,3.23981934307,4.00620620438
1.15,3.25845907473,4.01684697509
1.16,3.27685765125,4.02738078292
1.17,3.29525622776,4.03791459075
1.18,3.31304583333,4.04820416667
1.19,3.33071944444,4.05844722222
1.2,3.34839305556,4.06869027778
1.21,3.36543627119,4.07866745763
1.22,3.38245322034,4.08863355932
1.23,3.39946324503,4.09859768212
1.24,3.41578774834,4.10836589404
1.25,3.43211225166,4.11813410596
1.26,3.44843675497,4.12790231788
1.27,3.46410679612,4.13748349515
1.28,3.47977022654,4.14706278317
1.29,3.49543365696,4.1566420712
1.3,3.51048580442,4.16606056782
1.31,3.52547003155,4.17546119874
1.32,3.54045425868,4.18486182965
1.33,3.55496707692,4.19418338462
1.34,3.56930553846,4.20347569231
1.35,3.583644,4.212768
1.36,3.59767297297,4.2219963964
1.37,3.61136666667,4.23115555556
1.38,3.62506036036,4.24031471471
1.39,3.63866187683,4.24946363636
1.4,3.65174105572,4.25855454545
1.41,3.6648202346,4.26764545455
1.42,3.67789941349,4.27673636364
1.43,3.6905234957,4.28577908309
1.44,3.70298767908,4.29480487106
1.45,3.71545186246,4.30383065903
1.46,3.72776787709,4.31284860335
1.47,3.73963938547,4.32184301676
1.48,3.75151089385,4.33083743017
1.49,3.76338240223,4.33983184358
1.5,3.77487629428,4.3487880109
1.51,3.78618419619,4.3577253406
1.52,3.79749209809,4.3666626703
1.53,3.8088,4.3756
1.54,3.81951808511,4.38453617021
1.55,3.83023617021,4.39347234043
1.56,3.84095425532,4.40240851064
1.57,3.85154363636,4.41135064935
1.58,3.86172545455,4.42031168831
1.59,3.87190727273,4.42927272727
1.6,3.88208909091,4.43823376623
1.61,3.89206142132,4.44721395939
1.62,3.90170609137,4.45622411168
1.63,3.91135076142,4.46523426396
1.64,3.92099543147,4.47424441624
1.65,3.93041014851,4.48326559406
1.66,3.93954381188,4.49230024752
1.67,3.94867747525,4.50133490099
1.68,3.95781113861,4.51036955446
1.69,3.96672560386,4.5194236715
1.7,3.97532463768,4.5285057971
1.71,3.9839236715,4.53758792271
1.72,3.99252270531,4.54667004831
1.73,4.00099176471,4.55577129412
1.74,4.00910941176,4.56492423529
1.75,4.01722705882,4.57407717647
1.76,4.02534470588,4.58323011765
1.77,4.03345299539,4.59238525346
1.78,4.04110276498,4.60164792627
1.79,4.04875253456,4.61091059908
1.8,4.05640230415,4.62017327189
1.81,4.06405207373,4.6294359447
1.82,4.07138988764,4.63874157303
1.83,4.07858089888,4.64806741573
1.84,4.08577191011,4.65739325843
1.85,4.09296292135,4.66671910112
1.86,4.10004004376,4.67606914661
1.87,4.10673588621,4.68550021882
1.88,4.11343172867,4.69493129103
1.89,4.12012757112,4.70436236324
1.9,4.12682341357,4.71379343545
1.91,4.13325503212,4.72331734475
1.92,4.13955053533,4.73288907923
1.93,4.14584603854,4.7424608137
1.94,4.15214154176,4.75203254818
1.95,4.15843704497,4.76160428266
1.96,4.16430772443,4.77131064718
1.97,4.17017411273,4.78101837161
1.98,4.17604050104,4.79072609603
1.99,4.18190688935,4.80043382046
2,4.18768757637,4.81016334012
2.01,4.19312545825,4.81998004073
2.02,4.19856334012,4.82979674134
2.03,4.204001222,4.83961344196
2.04,4.20943910387,4.84943014257
2.05,4.21476441352,4.8593
2.06,4.21981411531,4.8693
2.07,4.2248638171,4.8793
2.08,4.22991351889,4.8893
2.09,4.23496322068,4.8993
2.1,4.23991669903,4.90934038835
2.11,4.24459631068,4.91949572816
2.12,4.24927592233,4.92965106796
2.13,4.25395553398,4.93980640777
2.14,4.25863514563,4.94996174757
2.15,4.26327381404,4.96013548387
2.16,4.26758121442,4.97045806452
2.17,4.2718886148,4.98078064516
2.18,4.27619601518,4.99110322581
2.19,4.28050341556,5.00142580645
2.2,4.28481081594,5.0117483871
2.21,4.28882273567,5.02221922366
2.22,4.29277837338,5.03271829945
2.23,4.29673401109,5.04321737523
2.24,4.3006896488,5.05371645102
2.25,4.30464528651,5.0642155268
2.26,4.30845234657,5.07480270758
2.27,4.31206245487,5.0855066787
2.28,4.31567256318,5.09621064982
2.29,4.31928267148,5.10691462094
2.3,4.32289277978,5.11761859206
2.31,4.32650288809,5.12832256318
2.32,4.32983010563,5.13919911972
2.33,4.33312235915,5.15009700704
2.34,4.33641461268,5.16099489437
2.35,4.3397068662,5.17189278169
2.36,4.34299911972,5.18279066901
2.37,4.3462253012,5.19373493976
2.38,4.34920292599,5.20485370052
2.39,4.35218055077,5.21597246127
2.4,4.35515817556,5.22709122203
2.41,4.35813580034,5.23820998279
2.42,4.36111342513,5.24932874355
2.43,4.3639738255,5.26053020134
2.44,4.36665838926,5.2718557047
2.45,4.36934295302,5.28318120805
2.46,4.37202751678,5.29450671141
2.47,4.37471208054,5.30583221477
2.48,4.3773966443,5.31715771812
2.49,4.37996579378,5.32857692308
2.5,4.38238805237,5.34011538462
2.51,4.38481031097,5.35165384615
2.52,4.38723256956,5.36319230769
2.53,4.38965482815,5.37473076923
2.54,4.39207708674,5.38626923077
