wl_um,n,k
0.2,1.91664017092,1.2716020868
0.21,1.97330216506,1.31873076085
0.22,2.05539404483,1.372255447
0.23,2.16154214054,1.42211986507
0.24,2.28960756713,1.46316097459
0.25,2.4417233031,1.49235380114
0.26,2.62612656572,1.50050622445
0.27,2.84687711082,1.45999976323
0.28,3.07472567567,1.33387969157
0.29,3.24472407176,1.12423600834
0.3,3.32553699095,0.891792542655
0.31,3.34771198004,0.676603436987
0.32,3.32848722547,0.470853812738
0.33,3.25490273558,0.286142569275
0.34,3.1434410247,0.152329823201
0.35,3.02706538059,0.0718728728843
0.36,2.92392591585,0.029398880304
0.37,2.83931087515,0.0106870117595
0.38,2.77368409023,0.00399263565619
0.39,2.72249290882,0.00158046925932
0.4,2.68108704895,0.000649339754398
0.41,2.64676736998,0.000279535825348
0.42,2.61767305741,0.000125375605062
0.43,2.59258473982,5.83073196029e-05
0.44,2.57067447782,2.80708509464e-05
0.45,2.55133995609,1.39604295694e-05
0.46,2.53412936752,7.15488806585e-06
0.47,2.51870552087,3.77598802555e-06
0.48,2.50480633637,2.05917264275e-06
0.49,2.4921910547,1.14473552314e-06
0.5,2.48070945438,6.5280103961e-07
0.51,2.47019749972,3.79868663805e-07
0.52,2.46055689443,2.27152884313e-07
0.53,2.45166748594,1.37943015782e-07
0.54,2.4434506306,8.53342456085e-08
0.55,2.43584416715,5.39454959389e-08
0.56,2.42877431737,3.46018352238e-08
0.57,2.42218854893,2.25143868958e-08
0.58,2.41604055862,1.49280798546e-08
0.59,2.41028940138,9.97680053853e-09
0.6,2.40489875835,6.77695553292e-09
0.61,2.39983632801,4.64576969492e-09
0.62,2.3950733034,3.22138725599e-09
0.63,2.39059049905,2.24963026658e-09
0.64,2.38635961622,1.5872836689e-09
0.65,2.38235898704,1.11775766723e-09
0.66,2.37857317199,7.88897808253e-10
0.67,2.37498887569,5.54910240714e-10
0.68,2.37158377706,3.85282056908e-10
0.69,2.36835378436,2.61614405162e-10
0.7,2.36527804068,1.69867489867e-10
0.71,2.36235312819,1.02081453544e-10
0.72,2.35956094221,4.99302451157e-11
0.73,2.35690209757,1.05156320638e-11
0.74,2.354359745,0
0.75,2.35192891017,0
0.76,2.34960544886,0
0.77,2.34737868572,0
0.78,2.34524319496,0
0.79,2.34319585383,0
0.8,2.34123092419,0
0.81,2.339342297,0
0.82,2.33752581788,0
0.83,2.33577758245,0
0.84,2.33409391847,0
0.85,2.33247137352,0
0.86,2.33090669801,0
0.87,2.32939683283,0
0.88,2.32793890013,0
0.89,2.32653018695,0
0.9,2.32516814023,0
0.91,2.32385035286,0
0.92,2.32257455606,0
0.93,2.32133861079,0
0.94,2.32014050199,0
0.95,2.31897832734,0
0.96,2.31785055431,0
0.97,2.31675690309,0
0.98,2.31569416023,0
0.99,2.31466080379,0
1,2.31365539792,0
1.01,2.3126783925,0
1.02,2.3117272945,0
1.03,2.31080029567,0
1.04,2.30989723302,0
1.05,2.30901768231,0
1.06,2.30815893223,0
1.07,2.30732137439,0
1.08,2.30650412626,0
1.09,2.30570485327,0
1.1,2.30492537271,0
1.11,2.30416244658,0
1.12,2.30341673219,0
1.13,2.30268712813,0
1.14,2.30197273794,0
1.15,2.30127368788,0
1.16,2.30058835998,0
1.17,2.29991733028,0
1.18,2.29925896753,0
1.19,2.29861364056,0
1.2,2.29798030058,0
1.21,2.29735855501,0
1.22,2.2967484348,0
1.23,2.29614833186,0
1.24,2.29555975971,0
1.25,2.29498037412,0
1.26,2.29441095283,0
1.27,2.29385092444,0
1.28,2.29329918996,0
1.29,2.29275688876,0
1.3,2.29222253642,0
1.31,2.2916956672,0
1.32,2.29117732789,0
1.33,2.29066605881,0
1.34,2.29016153887,0
1.35,2.28966436235,0
1.36,2.2891738346,0
1.37,2.28868938764,0
1.38,2.28821089944,0
1.39,2.28773899588,0
1.4,2.28727256526,0
1.41,2.2868114388,0
1.42,2.28635545128,0
1.43,2.28590511389,0
1.44,2.28545960971,0
1.45,2.28501872135,0
1.46,2.28458230322,5.46011707845e-319
1.47,2.2841502114,2.67476151206e-314
1.48,2.28372281678,4.80471547358e-306
1.49,2.28329945249,2.54178554282e-301
1.5,2.28287996612,8.67207818198e-297
1.51,2.28246422943,2.31432743748e-292
1.52,2.28205211874,5.05550448243e-288
1.53,2.28164351261,9.324704043e-284
1.54,2.28123848494,1.2371172687e-276
1.55,2.28083684903,3.5795864668e-272
1.56,2.28043834301,5.44535489805e-268
1.57,2.28004285785,6.24302834242e-264
1.58,2.27965028897,5.85692170123e-260
1.59,2.27926053428,4.62786408522e-256
1.6,2.27887349488,3.15824926509e-252
1.61,2.2784890725,1.87712367258e-248
1.62,2.2781071733,9.75722579779e-245
1.63,2.27772770451,4.47613804042e-241
1.64,2.27735058382,2.03217495411e-236
1.65,2.27697581997,1.11879751077e-231
1.66,2.27660320689,5.66590383113e-228
1.67,2.27623266184,1.96119651856e-224
1.68,2.27586410718,5.46510852657e-221
1.69,2.27549746393,1.28066778647e-217
1.7,2.27513265629,2.59617003895e-214
1.71,2.27476961101,4.61653454497e-211
1.72,2.27440825625,7.22339910273e-208
1.73,2.27404852238,1.00484773594e-204
1.74,2.27369034101,1.24331612572e-201
1.75,2.27333364688,1.36727031021e-198
1.76,2.27297837479,1.34260596419e-195
1.77,2.27262446222,1.17570342275e-192
1.78,2.27227184874,9.12066860046e-190
1.79,2.27192047436,6.2585387034e-187
1.8,2.27157028144,3.73238423546e-184
1.81,2.2712212135,1.90292771958e-181
1.82,2.27087321704,7.7963247561e-179
1.83,2.27052623868,2.11528463747e-176
1.84,2.27018023412,4.41703555323e-175
1.85,2.26983519512,2.07373984467e-172
1.86,2.26949102357,8.88018195381e-170
1.87,2.26914767001,3.46517702729e-167
1.88,2.26880508865,1.22428349152e-164
1.89,2.26846323474,3.92909370274e-162
1.9,2.26812206315,1.13502843297e-159
1.91,2.26778153152,2.94118614259e-157
1.92,2.26744159923,6.74155546327e-155
1.93,2.26710222575,1.32189901351e-152
1.94,2.26676337146,2.09861566186e-150
1.95,2.26642499903,2.07193631001e-148
1.96,2.26608708869,2.41020324661e-147
1.97,2.26574962637,4.44903549027e-145
1.98,2.26541253155,7.39695242773e-143
1.99,2.26507576972,1.1129851751e-140
2,2.26473930856,1.48273526668e-138
2.01,2.26440311697,1.68159616186e-136
2.02,2.26406716456,1.49578510394e-134
2.03,2.2637314217,6.83131668256e-133
2.04,2.26339587693,8.88551546497e-132
2.05,2.26306049031,9.45055739848e-130
2.06,2.26272521747,9.03939103787e-128
2.07,2.26239003322,7.50790873773e-126
2.08,2.26205491264,5.10803689258e-124
2.09,2.26171983138,2.22842793798e-122
2.1,2.26138476637,1.60194802256e-121
2.11,2.26104968291,1.20956213601e-119
2.12,2.26071455693,8.03048338084e-118
2.13,2.26037936768,4.57700159752e-116
2.14,2.2600440952,1.98217294347e-114
2.15,2.25970872033,3.19827007566e-113
2.16,2.25937318612,5.01603264329e-112
2.17,2.25903748825,2.60910846616e-110
2.18,2.25870161727,1.15833546386e-108
2.19,2.25836555721,3.90396614599e-107
2.2,2.25802929336,4.45695929341e-106
2.21,2.25769273341,7.13718866143e-105
2.22,2.25735590698,2.83974014164e-103
2.23,2.25701881438,9.33349153236e-102
2.24,2.25668144346,2.03551880133e-100
2.25,2.25634374765,1.05235238245e-99
2.26,2.25600564013,3.62351321368e-98
2.27,2.25566719887,1.06232102896e-96
2.28,2.25532841434,2.28005967291e-95
2.29,2.25498927744,8.84708686674e-95
2.3,2.25464959277,2.59980196546e-93
2.31,2.25430951579,6.53653603874e-92
2.32,2.25396903889,1.22136386538e-90
2.33,2.25362815531,5.42384775137e-90
2.34,2.25328663376,1.08511955892e-88
2.35,2.25294466161,2.28619109398e-87
2.36,2.25260224133,3.44839188319e-86
2.37,2.25225933384,1.30394800645e-85
2.38,2.25191572064,2.70540616208e-84
2.39,2.2515716212,4.62948500265e-83
2.4,2.25122703369,4.89371080911e-82
2.41,2.25088180915,2.35018615837e-81
2.42,2.25053589735,4.02153264086e-80
2.43,2.25018946485,5.25344460455e-79
2.44,2.24984251229,2.27363799366e-78
2.45,2.24949468973,2.6015985808e-77
2.46,2.24914629068,3.49183985289e-76
2.47,2.24879734414,2.85894384835e-75
2.48,2.24844763546,1.31406538591e-74
