wl_um,n,k
0.2,2.99,1.896
0.21,3.0035,1.607
0.22,3.017,1.318
0.23,3.0305,1.029
0.24,3.044,0.74
0.25,2.9745,0.6315
0.26,2.905,0.523
0.27,2.8605,0.47
0.28,2.816,0.417
0.29,2.795,0.387
0.3,2.774,0.357
0.31,2.779,0.328
0.32,2.784,0.299
0.33,2.787,0.2445
0.34,2.79,0.19
0.35,2.75,0.122
0.36,2.71,0.054
0.37,2.6625,0.0345
0.38,2.615,0.015
0.39,2.5825,0.0115
0.4,2.55,0.008
0.41,2.529,0.006
0.42,2.508,0.004
0.43,2.4915,0.0035
0.44,2.475,0.003
0.45,2.463,0.003
0.46,2.451,0.003
0.47,2.44,0.002
0.48,2.429,0.001
0.49,2.4225,0.002
0.5,2.416,0.003
0.51,2.4065,0.0015
0.52,2.397,0
0.53,2.3905,0
0.54,2.384,0
0.55,2.3785,0.0005
0.56,2.373,0.001
0.57,2.368,0.001
0.58,2.363,0.001
0.59,2.359,0.0015
0.6,2.355,0.002
0.61,2.3515,0.002
0.62,2.348,0.002
0.63,2.3445,0.002
0.64,2.341,0.002
0.65,2.338,0.0035
0.66,2.335,0.005
0.67,2.333,0.005
0.68,2.331,0.005
0.69,2.329,0.0055
0.7,2.327,0.006
0.71,2.3245,0.006
0.72,2.322,0.006
0.73,2.3205,0.0065
0.74,2.319,0.007
0.75,2.3175,0.007
0.76,2.316,0.007
0.77,2.3145,0.0075
0.78,2.313,0.008
0.79,2.3115,0.0085
0.8,2.31,0.009
0.81,2.309,0.009
0.82,2.308,0.009
0.83,2.307,0.0095
0.84,2.306,0.01
0.85,2.305,0.0105
0.86,2.304,0.011
0.87,2.3035,0.011
0.88,2.303,0.011
0.89,2.302,0.0115
0.9,2.301,0.012
0.91,2.3005,0.012
0.92,2.3,0.012
0.93,2.2995,0.0125
0.94,2.299,0.013
0.95,2.2985,0.0135
0.96,2.298,0.014
0.97,2.298,0.0145
0.98,2.298,0.015
0.99,2.298,0.0155
1,2.298,0.016
1.01,2.298,0.016
1.02,2.298,0.016
1.03,2.2985,0.0155
1.04,2.299,0.015
1.05,2.299,0.015
1.06,2.299,0.015
1.07,2.299,0.0145
1.08,2.299,0.014
1.09,2.299,0.014
1.1,2.299,0.014
1.11,2.299,0.0135
1.12,2.299,0.013
1.13,2.299,0.0125
1.14,2.299,0.012
1.15,2.299,0.011
1.16,2.299,0.01
1.17,2.2985,0.01
1.18,2.298,0.01
1.19,2.298,0.0095
1.2,2.298,0.009
1.21,2.2975,0.0085
1.22,2.297,0.008
1.23,2.297,0.0075
1.24,2.297,0.007
1.25,2.2965,0.007
1.26,2.296,0.007
1.27,2.296,0.0065
1.28,2.296,0.006
1.29,2.2955,0.0055
1.3,2.295,0.005
1.31,2.2945,0.005
1.32,2.294,0.005
1.33,2.2935,0.005
1.34,2.293,0.005
1.35,2.293,0.0045
1.36,2.293,0.004
1.37,2.2925,0.004
1.38,2.292,0.004
